"","categorie","intitule_offre","description_offre"
"231","DATA ANALYST","DATA ANALYST F/H - SYSTÈME, RÉSEAUX, DONNÉES (H/F)","Descriptif du poste:

 
Notre cabinet Talentissim recrute pour une société leader dans les sites rencontre, un (e) data analyst H/F.
MISSIONS PRINCIPALES : 
Votre mission principale consiste à vous approprier les business model & data model de sorte à pouvoir extraire les données via les outils disponibles et en faire l'analyse.
Contrôler la qualité et la cohérence des données au sein du data model
Être l'interlocuteur privilégié des opérationnels et de la direction sur le data model, les dashboards et leur analyse
Être force de proposition dans la création de dashboards de suivi à destination des différents services du groupe et/ou de la direction
Être force de proposition et apporter des recommandations sur les bases de données et le data model à modifier
Assurer le suivi quotidien des KPI groupe via les dashboards existants et à venir
Analyser en profondeur les KPI groupe
Synthétiser et rendre accessible les informations pour les différents services du groupe et/ou de la direction
CONDITIONS
CDI à pourvoir d'urgence (38h)
Poste basé sur le secteur d'Annecy (74)
Rémunération en fonction du profil
 

Profil recherché:

Vous êtes une personne créative, passionnée par la technologie et le web, qui sait prendre des initiatives et travailler en équipe.
Vous êtes organisé(e), rigoureux(se) et autonome dans votre travail, vous êtes une personne dotée d'un bon raisonnement et de fortes capacités d'analyses. "
"232","DATA ANALYST","DATA ANALYST F/H - SYSTÈME, RÉSEAUX, DONNÉES (H/F)","Descriptif du poste:

Dans le cadre de notre développement et tant que Data Analyst, voici les principales missions du poste:
 
Construire des analyses quantitatives fiables permettant d'améliorer la performance opérationnelle
Allmenter un reporting régulier des KPI's opérationnels clés
Collecte et interprétation des données et analyse des résultats de manière hebdomadaire.
Partage des résultats avec les pays et opérationnels concernés
Construction des plans d'actions correctifs de manière collaborative
Travailler avec les équipes business d'autres départements et/ou Comex afin d'identifier les nouveaux besoins en termes d'analyse de la performance opérationnelle
Améliorer l'adoption d'outils digitaux d'analyse de la performance comme Power BI en collaboration avec les départements finance et IT
Piloter les prévisions centralisées de chiffre d'affaires
 
Etre le support des managers pour planifier leurs objectifs de chiffre d'affaires en les challengeant et en leur proposant les ajustements nécessaires
Identifier à partir des données de ventes des tendances permettant d'identifier des ajustements nécessaires des prévisions de chiffre d'affaires (par exemple, ""baisse des ventes en LFL depuis xx semaines"", ""niveau excessif d'invendus sur cette référence depuis le début de la semaine"").
S'assurer que le plan de production par référence est optimisé pour générer le plus haut niveau de LFL tout en maîtrisant le niveau d'invendus
Travailler en collaboration avec le département IT afin d'identifier des algorithmes de tiers qui pourraient permettre d'affiner la fiabilité des prévisions de chiffre d'affaires.

Profil recherché:

Vous possédez une expérience de minimum 2 ans sur le même type de poste dans un environnement similaire (agro-alimentaire, Retail).
Vous êtes diplômé(e) en mathématiques, ou sciences informatiques?
Votre anglais est nécessairement courant, aussi bien écrit qu'oral.
Au delà de votre expérience, nous recherchons un profil pro-actif, prêt à rejoindre un groupe leader dans son domaine.
Nous attendons vos candidatures! "
"233","DATA ANALYST","DATA ANALYST F/H - SYSTÈME, RÉSEAUX, DONNÉES (H/F)","Descriptif du poste:

Les missions liées à ce poste sont : 
* Monitoring de la qualité de données, de suivi de performance d'algorithmes
* Création / correction / maintenance de tableaux de bord (PowerBi)
* Extraction de données via requête SQL sous environnement GCP
* Création des datamarts nécessaires et suivi de leur industrialisation avec les équipes techniques
* Compréhension des problématiques métier
 
Vous aurez comme objectif de mettre en place les indicateurs clés qui permettront de suivre : la qualité de données, la performance d'algorithmes.
Pour cela, vous serez capable de proposer et de mettre en oeuvre les moyens pour réaliser cet objectif, et vous serez le garant du suivi de ces indicateurs.
 
Compétences techniques : SQL - PowerBI -Python - Google Cloud Platform

Profil recherché:

De formation supérieure (bac+2 à bac+5), vous justifiez d'une solide première expérience à un poste similaire.
 
Impliqué et curieux, vous aimez découvrir de nouvelles technologies et avez le goût du travail bien fait ! "
"234","DATA ANALYST","DATA ANALYST F/H - SYSTÈME, RÉSEAUX, DONNÉES (H/F)","Descriptif du poste:

BUSINESS ANALYST (H/F) Ile de France

Dans le cadre du développement de notre activité, nous recherchons un Business Analyst (H/F) pour intervenir auprès de nos clients dans la région parisienne.

Venez vivre une aventure à taille humaine en rejoignant notre équipe de la Division Transport  !

<U+FFFD><U+FFFD><U+FFFD><U+FFFD> Vos missions :
 
Recueillir le besoin auprès du client
Réaliser le cahier des charges
Assurer le chiffrage
Rédiger des spécifications techniques et/ou fonctionnelles
Coordonner les équipes techniques et/ou métiers
Rédiger et suivre le déroulement des plans de tests
Optimiser les outils, processus et documents
Garantir le respect des délais et la qualité des livrables
Assurer un reporting régulier
Être à l'aise avec les méthodologies : Agile (Kanban, Scrum)
 

Profil recherché:

<U+FFFD><U+FFFD><U+FFFD><U+FFFD> Votre profil :

Vous disposez d'une expérience d'au moins 3 ans, notamment en tant que Business Analyst, Chef de Projet ou Product Owner.

Véritable passionné(e), vous êtes force de proposition et doté(e) d'une aisance relationnelle.

Une bonne connaissance fonctionnelle de l'Assurance est requise pour ce poste.

Une certification en méthodologies de projets (Scrum, Safe, Prince 2 ...) est un plus.

Idéalement, vous avez un niveau opérationnel en anglais.

<U+FFFD><U+FFFD><U+FFFD><U+FFFD> Rejoindre Umanis, c'est :
 
Des suivis réguliers avec votre référent(e) RH et commercial(e)
Un accès à une plateforme avec plus de 600 formations disponibles dès votre arrivée
Des communautés d'experts
Un parcours excellence Agile devops
Un programme de Mécénat de Compétences
Un engagement auprès des travailleurs en situation de handicap
Une mobilité interne facilitée
Des afterworks mensuels
 
Prêt(e) à en discuter ?! "
"235","DATA ANALYST","DATA ANALYST F/H - SYSTÈME, RÉSEAUX, DONNÉES (H/F)","Descriptif du poste:

Missions :
Rattaché au responsable du développement business export, vous serez chargé de :
- Mesure de la performance :
Mise en place de reporting pour proposer de nouveaux leviers business achat &amp; marketing.
Consolider la data analytics et commerciale. Rapprocher les coûts d'acquisition des revenus générés sur chaque site Européen.
Vulgariser l'analyse de données pour la rendre compréhensible par tous et appuyer les prises de décision.
- Analyse Prix :
Réaliser une veille de prix hebdomadaire à l'échelle Européenne sur nos top sellers et être force de proposition auprès des acheteurs sur la politique de prix.
- Amélioration de la connaissance client :
Enrichir notre connaissance client par l'analyse et la modélisation des comportements d'achat. Partager les résultats avec les différentes équipes achats et marketing et les aider dans la compréhension et l'utilisation de ces données.
Répondre aux demandes ad'hoc pour affiner la compréhension d'un sujet précis.
- Qualité des données et évolutions :
Veiller à la fiabilité et cohérence des données, proposer des optimisations et alerter sur les éventuels problèmes décelés afin de fiabiliser toutes nos analyses.
Centraliser et gérer les demandes d'évolutions en matière de reporting.
Collaborer avec l'équipe IT pour assurer la parfaite gestion de la base de données.

Profil recherché:

Qualités
Compétences analytiques et esprit de synthèse
Autonomie, pro activité Compétences Vous maitrisez excel et google analytics
Vous justifiez d'une première expérience avec un outil BI
Salesforce apprécié "
"236","DATA SCIENTIST","DATA SCIENTIST F/H - SYSTÈME, RÉSEAUX, DONNÉES (H/F)","Descriptif du poste:

Intervenant auprès des métiers, vous exploitez, analysez et évaluez la richesse, de données structurées ou non, pour établir des scénarios permettant de comprendre et d'anticiper les futurs levier métiers ou opérationnels pour l'entreprise.
Pour cela :
- Vous appliquez des techniques d'extraction et d'analyse d'informations, obtenues à partir de gisements de données (Big Data)
- Vous obtenez des données adéquates, trouvez les sources de données pertinentes. Vous faites des recommandations sur les bases de données à consolider, modifier, rapatrier, externaliser, internaliser. Vous concevez des datamarts, voire des entrepôts de données (data warehouses).
-  Vous évaluez la qualité et la richesse des données, les analysez et en restituez les résultats pour ensuite les intégrer dans le système d'information cible du métier.
- Vous analysez les données pour traduire une problématique métier en problème mathématiques/statistiques et réciproquement

Profil recherché:

Hard Skills :
Vous maitrisez les analyses statistiques et vous savez développer des algorithmes de Data science.
Les dashboards et la documentation : c'est votre Dada !
Vous avez de bonnes compétences techniques SQL mais aussi en GCP (Google Cloud Platform)
Soft Skills :
Vous êtes force de proposition afin de répondre aux problématiques métiers.
Vous êtes pédagogue et autonome : communiquer, partager avec d'autres interlocuteurs ne vous font pas peur ! "
"237","DATA ANALYST","DATA ANALYST QLIK F/H - SYSTÈME, RÉSEAUX, DONNÉES (H/F)","Descriptif du poste:

<U+2B50> Data Analyst Qlik (h/f)
 
Tu veux faire ça dès demain ?
Intégrer une équipe au taquet sur les solutions Qlik et transmettre ta passion pour la DATA à tes clients.
Cette petite flamme que tu as, tu nous l'apporteras ! A nous, ta future boîte (on espère), à ta team, à la communauté que tu rejoindras, et surtout à ton client !
Tu n'as pas idée à quel point tu peux nous apprendre des choses ! Mais mon petit doigt me dit que toi aussi tu apprendras beaucoup <U+FFFD><U+FFFD><U+FFFD><U+FFFD> !
 
Et sinon, ce qui pourrait faire partie de ton quotidien, c'est surtout :
* Faire des POC qui envoient du lourd
* Dialoguer avec les utilisateurs pour bien comprendre leurs besoins
* Apporter ton regard avisé et tes conseils d'Expert
* Intégrer les données depuis des sources On Premise ou Cloud
* Réaliser des tableaux de bord qui mettront des paillettes dans les yeux
* Transmettre tes compétences à travers des ateliers et formations
Environnement : Solutions Qlik
 
Là on parle de demain, mais si on voit plus loin ensemble ?
On aura des possibilités d'évolution en DATA (management - analytics - intelligence) ou encore en gestion de projet, expertise technique, management, commerce., ce qui est sûr c'est qu'on sera à ton écoute ! 

Profil recherché:

Tu penses avoir les cartes en main ? 
En tous cas, tu n'as pas forcément besoin d'un carré d'as pour gagner ! Mais si tu sais nous proposer une suite avec les cartes : Autonomie / Service / Esprit d'équipe / Agilité et ta fameuse 5ème carte qui fera la différence, tu peux rafler la mise ! 
Pour se lancer dans la partie, ton diplôme d'ingénieur informatique sera demandé à l'entrée. Et vu que tu as déjà au moins 2 ans de bouteille et de beaux projets DATA à ton palmarès, tu dois être en mesure de nous en parler avec des étoiles dans les yeux !
 
Tu es toujours bien accroché à cette annonce ? 
Alors regarde un peu si ça peut matcher entre nous ! Plus tu coches de cases, plus tu as de chances de gagner. 
<U+FFFD><U+FFFD><U+FFFD><U+FFFD> Service client (Bah oui on est quand même une entreprise de services <U+FFFD><U+FFFD><U+FFFD><U+FFFD>) 
<U+FFFD><U+FFFD><U+FFFD><U+FFFD> Maitrise d'une solution DATA (Qlik Sense, QlikView, Power BI, Tableau)
<U+FFFD><U+FFFD><U+FFFD><U+FFFD> Qualités relationnelles
<U+2B1C> Attirance pour la Tech et être un vrai profil Technico-fonctionnel
<U+2B1C> Une certification Qlik serait un vrai plus !
<U+2B1C> Agilité 
<U+2B1C> Anglais LV1  
 
Au cas où ce ne serait pas très clair, les carrés avec la grosse bordure sont les compétences indispensables.
 
<U+2B50> Télétravail partiel possible
 
Prêt à nous rejoindre ?  Envoie-nous ta candidature sans tarder
Toi + Nous = <U+FFFD><U+FFFD><U+FFFD><U+FFFD> "
"238","DATA ANALYST","DATA ANALYST - HESPERIE CONSEIL (H/F)","Nous recherchons pour l'un de nos clients, grand compte de l'industrie financière, un MOA Back-Office. 
Contexte : 
Bonne connaissance des dérivés actions et Commodities.- Bonne expérience Back-office  (paiements, confirmations , comptabilité)
- Très bonne expérience sur du reporting réglementaires (MIFID, ESMA, CFTC, EMIR , Dodd Frank. "
"239","DATA ANALYST","CONTRÔLEUR DE GESTION / DATA ANALYST H/F - VILLEPINTE","Quelles seront vos missions à ce poste ?

Dans un contexte de mise en place d'une Business Intelligence, rattachée au Contrôle de gestion Opérationnel France, sous la responsabilité du manager, vous apporterez votre expertise sur la BI (QLIK) afin de permettre la transition sur ce nouvel outil.

 

A ce titre, vos principales missions sur l'ensemble de votre périmètre sont :

 

 * 

Auditer et documenter les process et suivis existants - contrôle de l'intégrité des données.
 * 

Etudier les besoins en termes de suivis dans la BI à un niveau Groupe.
 * 

Etablir et valider les règles de gestion et de calcul pour permettre le suivi les indicateurs et dashboards de manière pérenne.
 * 

Mettre en place les nouveaux dashboards sur les différentes activités du Groupe (graphiques, tableaux de synthèse, KPI'S...) permettant de présenter des résultats clairs, cohérents, synthétiques et visuels (data visualisation).
 * 

Développer une culture de cadrage & de sécurisation de la donnée.
 * 

Participer aux clôtures mensuelles au niveau Groupe.
 * 

Contribuer à la construction des Forecasts et budgets pour le Groupe.
 * 

Analyses Adhocs
Quel est le profil recherché pour ce poste ?

 

Après un parcours en études supérieures en Finance / Contrôle de gestion / Informatique, le candidat aura réalisé au moins une expérience probante en contrôle de gestion opérationnel d'au moins 3 ans.

Vous avez de solides connaissances des technologies et outils informatiques des bases de données (SQL, etc...), une première expérience en logiciels de Business Intelligence & de management de base de données idéalement QLIK.

Vous être rigoureux, curieux, autonome et vous disposez d'un très bon contact. Vous disposez d'une très bonne capacité d'analyse, de synthèse et compréhension business. La maîtrise de l'anglais au niveau professionnel sera un plus indéniable pour évoluer dans l'entreprise.

 

Quels sont les avantages pour ce poste ?

 

Nombreux avantages pour nos collaborateurs : tickets restaurants (8,50 euros par jour), mutuelle qui rembourse très bien les différents soins (dentaire, optique, maternité, appareillage, ostéopathie.), chèques vacances, comité d'entreprise (réduction sur les contrôles techniques, location de voitures, voyages.), prime de participation annuelle, etc.

 

Tous nos postes sont ouverts au recrutement de travailleurs handicapés. "
"242","DATA SCIENTIST","DATA SCIENTIST F/H - SYSTÈME, RÉSEAUX, DONNÉES (H/F)","Descriptif du poste:
Intégré au sein de la BU Connectivité, dans une équipe de 2 personnes et entouré du service IT et maintenance (10 personnes environ), vous êtes chargé de préparer les projets (analyse de la documentation, création de l'architecture pour stocker les données, coordination avec les autres BU). Vous êtes aussi chargé de créer les algorithmes, en effectuant la préparation et l'exploration des données, identifiez les caractéristiques « features » pour la prédiction des défaillances et développez, testez et validez les algorithmes. Vous créez également des métriques pour comparer ces derniers et rédigez les specs et les rapports. Vous êtes aussi en charge de la création des modules plug and play configurables pour exécuter les algorithmes sur une architecture cloud. Vous êtes aussi en charge des dashboard pour présenter les résultats. Enfin, vous assurez la maintenance des algorithmes et en proposez de nouveaux pour améliorer la maturité des solutions (développement et maintien de la bibliothèque locale).

Profil recherché:
Issu d'une formation ingénieur, vous avez une appétence pour l'algorithmie/l'analyse des données ou êtes issu du monde de l'IT avec une connaissance électromécanique. 

- Vous justifiez d'au moins 3 années d'expérience en maintenance conditionnelle, maintenance prédictive.
- Maîtrise de la programmation en Python, des méthodes d'approches d'analyse des séries temporelles et des algorithmes et bibliothèques d'apprentissage automatique (sklearn, tensorflow, Keras, pytorch.) 
- Maîtrise des architectures et des outils cloud (Kafka, Ms Azure) et de la gestion de BDD (NoSQL, Cassandra, PostgreSQL) ainsi que de Kubernetes et Docker.
- Bonne compréhension des systèmes électromécaniques
- Vous avez idéalement une expérience dans le domaine industrielle (transport) 

Si vous êtes autonome, mature et force de proposition et que vous souhaitez rejoindre un groupe d'envergure, alors ce poste est fait pour vous.

Je suis consultant en recrutement chez Hays Technology, spécialiste du développement de logiciel à Tours. J'aide les professionnels de la Tech à développer leur carrière et je m'assure que les organisations sont soutenues par les meilleurs talents. 

Alors que la concurrence pour les talents s'intensifie, nous sommes prêts à aider les développeurs à avoir un impact réel sur les organisations, alors discutons-en ensemble dès aujourd'hui. "
"243","DATA SCIENTIST","DATA SCIENTISTE ET ANALYSTE  F/H (H/F)","La Direction Technologie de l'Information (DTI) du CSTB recrutement un(e) data scientiste et analyste en CDI.

La DTI est une équipe de 40 personnes composée d'experts pluridisciplinaires des métiers de la construction et des technologies de l'information. Nous accompagnons la filière construction dans la transition numérique et l'appropriation des nouvelles technologies, dans le cadre de missions d'expertise et de recherche et développement.

Au sein de la DTI, la division SNO (Services Numériques et dOnnées), basée sur le technopôle de Sophia Antipolis, est constituée de 15 personnes travaillant dans les domaines suivants :
- Le développement de logiciels, d'applicatifs web et de Preuves de concept (POC) pour la conception et la gestion des bâtiments et de la ville : modélisation et visualisation 3D (eveBIM®), gestion de l'Exploitation et de la Maintenance par le BIM (BIM GEM), développement de plateformes web support à la Règlementation (ministère)
- L'utilisation des data sciences et de l'intelligence artificielle : l'élaboration de dictionnaires de données (référentiel) et de vérificateurs de modèles, création de Jumeaux Numérique (bâtiment et ville), élaboration de modèles de prédiction...

A travers différents projets R&D, en équipe, vos missions seront de :
- Travailler sur les modèles de données et les jeux de données multi sources du bâtiment et de la ville pour les faire interopérer, leurs donner du sens et de la valeur.
- Travailler sur les modèles de données produits et catalogues et leurs liens avec les modèles de villes et bâtiments.
- Utiliser l'IA pour compléter, contextualiser les informations et concevoir des modèles prédictifs de classification pour répondre à des cas d'usages sur le bâtiment ou le territoire.

Le/la Data Scientiste et analyste, sera, chargé à terme :
- de concevoir des dictionnaires de données (Référentiel) en Linked Data pour des domaines comme la sécurité incendie, l'accessibilité, la prescription de produit... et s'y appuyer pour développer des vérificateurs de modèles (checkers)
- d'élaborer des modèles de prédiction pour évaluer l'évolution des territoires en se basant sur des campagnes d'acquisition annuelle d'images aériennes (dégradation toitures, nouvelles constructions, etc.)
De formation supérieure BAC+4/5 Data science et data analyse, vous avez une première expérience significative (stage ou alternance).

Compétences techniques attendues :
- Langages de requête relationnelle et sémantique (SQL, SPARQL)
- Systèmes de Gestion de Base de Données Relationnelles : Postgres,... et SGBD
Sémantiques (GraphDB / Stardog / Virtuoso / Jena... )
- Langage de programmation : Python, PHP, JavaScript
- Frameworks, bibliothèques : PyTorch, TensorFlow,...

Vous avez un bon niveau rédactionnel en Français. La maitrise de l'anglais, au moins lu est également requise.

Compétences transverses : 
travail en équipe
curiosité, proactivité
capacité d'analyse, esprit critique 

Fourchette de rémunération : 34-38keuros "
"244","DATA ENGINEER","DATA ENGINEER AZURE H/F","Inetum région Centre, recherche un profil AZURE Data Engineer.

 Vos principales missions consistent à
Concevoir et mettre en oeuvre des solutions sur la plateforme Microsoft Azure pour la persistance, l'enrichissement et l'analyse de données
Conseiller sur différents types d'architecture Data lake et Data warehouse pour répondre au mieux aux besoins des clients dans le respect des politiques sécurités
Mettre en place les tests pour assurer la qualité des livrables et l'intégrité des données produites
Vous engager dans des projets clients, allant de la conception à la mise en oeuvre de projets cloud (configuration, développements, documentations...)
Assurer le Rôle de conseil pour la mise en oeuvre des bonnes pratiques
La mise en oeuvre des stratégies de contrôle des coûts et recherche d'optimisations financières des services
La rédaction de dossier d'architecture technique et de dossier de spécifications techniques
Ce que nous allons vous apporter
La consolidation de vos connaissances par la formation et des certifications.
De formation supérieure en informatique, avec plusieurs années d'expériences.
Vous avez une bonne connaissance des technologies Azure et une expérience significative sur le Cloud Azure IAAS, PAAS
Vous démontrez d'excellentes compétences dans le relationnel avec les clients et en interne.
Vous êtes autonome et savez travailler en équipe.
Compétences techniques :
Expérience de développement Big Data, 
Modélisation décisionnelle, en étoile (Datawarehouse, Datamart), en offrant des niveaux élevés de performance, de sécurité, d'évolutivité, de maintenabilité et de fiabilité de la solution Microsoft AZURE
Expérience sur l'intégration de données
Définition des indicateurs
Azure Data Factory, GitHub, Azure DevOps minimum 3 ans
Facultatif : Databricks "
"245","DATA SCIENTIST","DATA SCIENTIST NLP H/F","Pour soutenir sa croissance en France, Adyoulike, leader européen de la Native advertising, cherche à agrandir ses équipes !
 La fin annoncée du cookie publicitaire en 2023 entraîne un changement de paradigme, nécessitant de repenser l'utilisation actuelle des données. Aujourd'hui, Adyoulike ambitionne de révolutionner les méthodes actuelles de ciblage publicitaire grâce à l'analyse sémantique.
 Pour atteindre cet objectif, nous recherchons un(e) data scientist NLP en CDI, pour rejoindre l'équipe Data.
 L'équipe Data s'occupe de l'ensemble des tâches liées aux données, de la collecte au déploiement de modèles prédictifs, en passant par le traitement et la mise à disposition. Elle partage ainsi son temps entre recherche (veille technologique, preuves de concepts) et développement (industrialisation, déploiements).
 Vos principales missions :
 * Proposer et développer des solutions d'analyse sémantique (topics, sentiments),
 * Faire un état de l'art technologique,
 * Effectuer des entraînements et des évaluations,
 * Automatiser le traitement des données à grande échelle,
 * Traiter par lots quotidiens,
 * Organiser méthodiquement les tâches,
 * Communiquer les performances des systèmes en production,
 * Réaliser des tableaux de bords.
 Si vous souhaitez rejoindre un environnement innovant au sein d'une équipe dynamique, dans un contexte de croissance, n'hésitez pas, postulez !
 ### MODALITÉS
 * Rémunération : Selon profil + titres restaurant (carte Swile) et remboursement du titre de transport à 50%
 * Lieu du poste : Neuilly-sur-Seine
 * Type du contrat : CDI* Date de disponibilité : Dès que possible
 Type d'emploi : Temps plein, CDI
 Salaire : à partir de 3 333,00€ par mois
 Avantages :
 * Participation au Transport
 * Titre-restaurant
 Horaires :
 * Du Lundi au Vendredi
 * Travail en journée
 "
"246","DATA ENGINEER","DATA ENGINEER H/F","Cellenza est un cabinet de conseil spécialisé dans les technologies Microsoft qui a fêté ses 10 ans en 2021 !
 Nous sommes une communauté de 100 passionnés partageant les mêmes valeurs : excellence, humilité, bienveillance, partage, audace et pragmatisme.
 Nos clients nous confient des projets stratégiques de transformations numériques et d'innovation grâce à nos expertises : Cloud, Data & IA, Software development & Devops . <U+FE0F>
 Vos activités : 
 Dans le cadre de la mise en place d'une plateforme Data pour répondre aux besoins du client :
 · Compréhension des besoins métiers pour une meilleure agilité dans le traitement des données.
 · Ingestion des données en batch et/ou en streaming
 · Organisation du DataLake selon les bonnes pratiques en suivant le pattern bronze, silver, gold.
 · Traitement de la donnée, initialisation de l'historique et mise en place de l'intégration du Delta
 · Mise à disposition de projets consommateurs du Silver : BI, ML, API
 · Industrialisation des modèles ML
 · Tests & Deploiement
 · Garantir la qualité des données
 · Assurer une continuité du projet avec les équipes opérationnels.
 Missions de référence réalisées par nos Data Engineer : 
 Chez l'un de nos clients, un Data Engineer ont industrialisé un PoC de Data Science. L'objectif était d'optimiser l'usage des fours d'alliage afin d'améliorer la qualité de production des métaux vendus. Ils ont mis en place :
 · Mise en place de l'Infra as Code et du CI/CD
 · Ingestion des sources de données via des APIs
 · L'organisation et la sécurité du Data Lake
 · Création des pipelines data
 · Insertion des données en sortie du pipeline data dans une base Postgres pour servir un backend
 · Optimisation des données afin d'améliorer la qualité et la compréhension
 · Optimisation du code
 Venez nous rejoindre, si vous avez : 
 <U+2714><U+FE0F> Au moins 2 ans d'expérience dans la Data Engineering
 <U+2714><U+FE0F> Une première utilisation de batch et/ou streaming
 <U+2714><U+FE0F> Maitrise des sujets technologiques suivants :
 · Python et/ou Scala
 · Outils ETL : Talend, Airflow, Data Factory.
 · Spark, Databricks
 · Base de données SQL
 <U+2714><U+FE0F> Une expérience sur un Cloud provider
 <U+2714><U+FE0F> La maitrise des concepts CI/CD sera fortement appréciée
 <U+2714><U+FE0F> Excellence technique et méthodologique, sens du service, partage et collaboration sont vos maîtres-mots !
 Pourquoi choisir Cellenza ? 
 · Projets stratégiques et innovants.
 · Missions challengeantes techniquement et intellectuellement.
 · Accélérateur de carrière : un manager et un référent technique pour un accompagnement sur mesure.
 · Nombreux événements : Tech' Lunchs, Bootcamps, Meetups.
 · Apprentissage via des conférences et des formations (softskills et hardskills).
 Nos avantages : 
 · Mutuelle généreuse
 · Carte tickets restaurant
 · Prime de participation
 · Prime de vacances
 · Un ordinateur portable et un pack pour aménager votre espace de télétravail.
 · Accès illimité aux livres et aux certifications
 Vous souhaitez progresser et booster votre carrière ? Venez nous rencontrer.
 Type d'emploi : Temps plein, CDI
 Salaire : 45 000,00€ à 55 000,00€ par an
 "
"248","DATA ANALYST","DATA ANALYST F/H - SYSTÈME, RÉSEAUX, DONNÉES (H/F)","Descriptif du poste:

Votre environnement et objectif :
Au sein de la cellule Data & Revenue Management, votre rôle est d'accompagner la stratégie de l'entreprise en collectant et modélisant les données, et concevant les outils d'analyses et modèles prédictifs d'aide à la décision.
Vous travaillez en transverse avec toutes les directions de l'entreprise et en étroite collaboration avec la direction des systèmes d'information.
Vos missions s'articuleront comme suit :
- Identifier les besoins et problématiques des directions métiers
- Conception des modèles de données
- Développement de solutions et mécanismes de stockage (ETL)
- Construction d'algorithmes permettant d'améliorer les résultats de recherches et de ciblage
- Développement de modèles prédictifs afin d'anticiper les évolutions de tendances des données
opérationnelles, et assister au ciblage client des différentes opérations marketing
- Création de tableaux de bord adaptés afin de rendre les résultats lisibles et exploitables par tous les métiers
- Recherche & développement (bases, plateformes de traitement, expérimentation nouvelles technologies)

Profil recherché:

Issu(e) d'une formation Bac+5 de type Ingénieur / Data Science, vous comprenez les enjeux métiers et êtes orienté business.
Vous êtes doté(e) d'un bon relationnel et avez le sens de la communication.
Enfin, vous savez travailler en autonomie, tout en étant force de proposition.
Vos compétences techniques clés seront les suivantes :
- Bases de données, architectures DWH, SQL (MySQL, PostgreSQL ...)
- ETL (Talend, custom.. )
- Programmation, scripting (C/C++, Java, Python, R ...)
- Modélisation statistique, Algorithmie
- Data Vizualisation (Tableau .)
- Gestion de projet
Poste en CDI, basé dans l'Ouest de l'île de La Réunion et à pourvoir dès que possible.
  "
"249","DATA ANALYST","DATA ANALYST (H/F)","Description du poste :
Votre mission
Votre environnement et objectif :
Au sein de la cellule Data & Revenue Management, votre rôle est d'accompagner la stratégie de l'entreprise en collectant et modélisant les données, et concevant les outils d'analyses et modèles prédictifs d'aide à la décision.
Vous travaillez en transverse avec toutes les directions de l'entreprise et en étroite collaboration avec la direction des systèmes d'information.
Vos missions s'articuleront comme suit :
- Identifier les besoins et problématiques des directions métiers
- Conception des modèles de données
- Développement de solutions et mécanismes de stockage (ETL)
- Construction d'algorithmes permettant d'améliorer les résultats de recherches et de ciblage
- Développement de modèles prédictifs afin d'anticiper les évolutions de tendances des données
opérationnelles, et assister au ciblage client des différentes opérations marketing
- Création de tableaux de bord adaptés afin de rendre les résultats lisibles et exploitables par tous les métiers
- Recherche & développement (bases, plateformes de traitement, expérimentation nouvelles technologies)
Votre profil
Issu(e) d'une formation Bac+5 de type Ingénieur / Data Science, vous comprenez les enjeux métiers et êtes orienté business.
Vous êtes doté(e) d'un bon relationnel et avez le sens de la communication.
Enfin, vous savez travailler en autonomie, tout en étant force de proposition.
Vos compétences techniques clés seront les suivantes :
- Bases de données, architectures DWH, SQL (MySQL, PostgreSQL ...)
- ETL (Talend, custom.. )
- Programmation, scripting (C/C++, Java, Python, R ...)
- Modélisation statistique, Algorithmie
- Data Vizualisation (Tableau .)
- Gestion de projet
Poste en CDI, basé dans l'Ouest de l'île de La Réunion et à pourvoir dès que possible.
A propos de nous
Spring est le cabinet de conseil en recrutement et Intérim spécialisés du Groupe Adecco, présent dans 24 pays. En France, nos équipes sont composées de plus de 250 consultants en recrutement qui disposent d'une double expertise : géographique de par notre présence dans 30 villes en France, et sectorielle via nos 11 spécialisations. Notre connaissance des métiers ainsi que de nos bassins d'emploi nous permettent de vous proposer des solutions qui répondent à vos projets professionnels.
Créateur d'affinités professionnelles, nous disposons d'un process d'évaluation unique basé sur les soft skills. Nous voyons au-delà des compétences pour assurer une bonne intégration au sein de votre équipe. Nous permettons la rencontre d'hommes et de femmes faits pour travailler ensemble. "
